movie_name,Year,Age,Duration(minutes),Ratings,Gross Profit($M),Votes
The Hobbit: An Unexpected Journey,2012,15,169,7.8,303,"857,092"
"Farewell, My Queen",2012,15,100,6.2,0.07,"9,004"
Anna Karenina,2012,15,129,6.6,12.82,"104,878"
Madagascar 3: Europe's Most Wanted,2012,15,95,6.8,216.39,"193,471"
Jack & Diane,2012,15,105,4.5,0,"3,145"
"Turn Me On, Dammit!",2011,15,76,6.3,0.12,"9,628"
Silver Linings Playbook,2012,15,122,7.7,132.09,"731,882"
Won't Back Down,2012,15,121,6.4,5.31,"6,818"
Outside Satan,2011,15,110,6.4,2.46,"2,066"
Breathing,2011,15,94,7,0,"2,990"
Grabbers,2012,15,94,6.3,2.46,"19,211"
Branded,2012,12,112,4.6,0.35,"9,279"
Ex-Girlfriends,2012,15,72,4.7,2.46,320
Jiro Dreams of Sushi,2011,15,81,7.8,2.55,"37,465"
Mini's First Time,2006,15,91,5.8,0.05,"8,570"
Hotel Transylvania,2012,15,91,7,148.31,"274,157"
Blue Gate Crossing,2002,15,85,7.4,2.46,"4,271"
A Late Quartet,2012,12,105,7.1,1.56,"15,147"
Lords of Dogtown,2005,15,107,7.1,11.01,"57,321"
The Paperboy,2012,15,107,5.7,0.69,"39,073"
The Raspberry Reich,2004,18,90,5.1,2.46,"1,736"
West of Memphis,2012,15,147,7.9,0.31,"10,768"
Premium Rush,2012,15,91,6.5,20.28,"117,391"
Killing Them Softly,2012,15,97,6.2,15.03,"150,384"
Frankenweenie,2012,15,87,6.9,35.29,"115,268"
Psycho II,1983,15,113,6.6,34.73,"30,267"
The Sessions,2012,15,95,7.2,6,"43,703"
Sister,2012,15,97,7,2.46,"7,126"
2 Days in New York,2012,15,96,6,0.63,"14,924"
Resurrecting the Champ,2007,15,112,6.7,3.17,"21,178"
No,2012,15,118,7.4,2.34,"25,941"
Stand Up Guys,2012,15,95,6.4,3.3,"57,266"
Robot & Frank,2012,15,89,7,3.33,"65,400"
The Giant Mechanical Man,2012,18,95,6.7,0.01,"10,439"
The Eclipse,2009,15,88,6,0.13,"3,083"
The Pirates! In an Adventure with Scientists!,2012,15,88,6.7,31.05,"50,719"
Allegiance,2012,15,90,4.8,2.46,634
Hyde Park on Hudson,2012,15,94,5.9,6.37,"12,245"
Possession,1981,15,124,7.3,1.11,"40,160"
The Sweeney,2012,12,112,6.1,0.03,"20,248"
Down in the Valley,2005,18,108,6.4,0.57,"18,833"
Life of Pi,2012,15,127,7.9,124.99,"655,630"
Gangster Squad,2013,15,113,6.7,46,"220,922"
Snabba cash,2010,15,124,6.7,0.19,"19,462"
Chaos,2001,15,109,7,0.21,"2,461"
The Master,2012,15,138,7.1,16.38,"183,093"
Diana Vreeland: The Eye Has to Travel,2011,15,86,7.5,1,"1,667"
The Angels' Share,2012,12,101,7,0.3,"26,538"
Music Within,2007,12,94,7.2,0.15,"5,960"
Hit and Run,2012,15,100,6.1,13.75,"37,202"
Irma Vep,1996,15,99,7,0.19,"9,344"
Samsara,2011,15,102,8.4,2.67,"37,469"
Nobody Walks,2012,15,83,5.3,0.02,"5,177"
Holy Motors,2012,18,115,7,2.46,"48,285"
Celeste & Jesse Forever,2012,18,92,6.6,3.09,"33,357"
The Elephant King,2006,15,92,6.2,0.02,550
Shadow Dancer,2012,15,101,6.2,0.1,"12,939"
Tampopo,1985,15,114,7.9,0.22,"21,635"
Love Is All You Need,2012,15,116,6.5,1.63,"14,678"
The Perfect Family,2011,18,84,5.6,0.11,"1,587"
The September Issue,2009,12,90,7,3.82,"7,932"
Mama,2013,15,100,6.2,71.63,"189,272"
The Twilight Saga: Breaking Dawn - Part 2,2012,15,115,5.5,292.3,"258,802"
Wreck-It Ralph,2012,15,101,7.7,189.42,"447,938"
House at the End of the Street,2012,15,101,5.5,31.61,"80,269"
Away We Go,2009,15,98,7,9.45,"54,760"
The Watch,2012,15,102,5.7,35.35,"131,772"
Clockers,1995,18,128,6.9,13.04,"23,199"
Side Effects,2013,12,106,7.1,32.17,"195,383"
What to Expect When You're Expecting,2012,18,110,5.7,41.15,"75,050"
28 Hotel Rooms,2012,15,82,5.7,0.02,"3,537"
The Star Chamber,1983,15,109,6.3,5.56,"7,565"
Easy Money II: Hard to Kill,2012,15,99,6.2,2.46,"8,672"
John Dies at the End,2012,15,99,6.3,0.14,"39,863"
Reality,2012,15,116,6.8,0.06,"5,679"
Undefeated,2011,15,113,7.7,0.56,"7,279"
It's All About Love,2003,15,104,5.3,0.01,"9,765"
Lore,2012,15,109,7.1,0.97,"15,764"
2046,2004,15,129,7.4,1.44,"60,687"
He's Just Not That Into You,2009,15,129,6.4,93.95,"180,043"
"Sorry, Haters",2005,15,83,6.2,0.01,"1,528"
Lola Versus,2012,15,87,5.5,0.25,"8,927"
Your Sister's Sister,2011,15,90,6.7,1.57,"28,166"
Everyday,2012,15,106,6.1,2.46,833
Chasing Mavericks,2012,15,116,7.1,6,"34,134"
Fairhaven,2012,15,81,5.1,2.46,608
Trishna,2011,15,117,6,0.23,"3,278"
Mosquita y Mari,2012,15,85,6.3,2.46,965
Alex Cross,2012,15,101,5.2,25.89,"35,084"
Rise of the Guardians,2012,15,97,7.2,103.41,"188,234"
Cherry,2012,15,98,4.8,0,"10,840"
Searching for Sugar Man,2012,15,86,8.2,3.97,"71,810"
Amour,2012,18,127,7.9,6.74,"104,312"
"Harry, He's Here to Help",2000,12,117,7.1,3.82,"11,819"
Brave,2012,15,93,7.1,237.28,"432,691"
A Glimpse Inside the Mind of Charles Swan III,2012,15,86,4.6,2.46,"5,625"
Heleno,2011,15,116,6.8,2.46,"1,477"
Here Comes the Boom,2012,12,105,6.4,45.29,"94,559"
The Kid with a Bike,2011,15,87,7.4,1.38,"28,418"
Jack Reacher,2012,15,130,7,80.07,"357,638"
Java Heat,2013,15,104,5.1,2.46,"4,904"
Room 237,2012,15,102,6.2,0.26,"22,871"
Inescapable,2012,15,93,5.2,0,"2,778"
Dark Skies,2013,15,97,6.3,17.41,"78,813"
Broken City,2013,15,109,6.1,19.7,"82,711"
The Numbers Station,2013,15,89,5.6,2.46,"20,680"
Oblivion,2013,15,124,7,89.02,"545,192"
The Host,2013,15,125,5.8,26.63,"117,722"
Iron Man 3,2013,15,130,7.1,409.01,"884,835"
The Company You Keep,2012,15,125,6.4,5.13,"34,650"
Hansel & Gretel: Witch Hunters,2013,15,88,6.1,55.7,"214,163"
Safe Haven,2013,15,115,6.6,71.35,"114,866"
Parker,2013,15,118,6.2,17.62,"127,783"
21 & Over,2013,15,93,5.8,25.68,"76,650"
The Place Beyond the Pines,2012,15,140,7.3,21.38,"284,662"
Sirius,2013,15,110,6.2,2.46,"1,791"
Barrymore,2011,15,83,7.2,2.46,402
The Dish,2000,15,101,7.2,2.25,"16,902"
Cycling with Molière,2013,15,104,6.6,0.06,"3,114"
In the House,2012,15,105,7.4,0.35,"33,803"
To the Wonder,2012,15,112,5.8,0.59,"29,712"
Down the Shore,2011,15,93,5.9,0,"1,439"
Playing for Keeps,2012,15,105,5.7,13.1,"31,009"
Black Rock,2012,15,83,4.8,2.46,"9,764"
Renoir,2012,15,111,6.5,2.29,"5,923"
I Give It a Year,2013,15,97,5.7,0.03,"38,878"
Dead Man Down,2013,15,118,6.4,10.88,"69,619"
The Purge,2013,15,85,5.7,64.47,"235,921"
Emperor,2012,15,107,6.5,3.35,"14,636"
Mercy,2009,15,87,5.9,0.01,"1,343"
42,2013,12,128,7.5,95,"100,735"
Hustlers,2013,15,112,5.9,0,"11,895"
The Colony,2013,12,95,5.3,2.46,"46,683"
The Croods,2013,15,98,7.2,187.17,"227,354"
$9.99,2008,15,78,6.7,0.05,"3,447"
Set Me Free,1999,15,94,6.9,0.07,"1,060"
Dormant Beauty,2012,15,115,6.3,2.46,"1,750"
Upstream Colour,2013,15,96,6.5,0.44,"34,639"
Touchy Feely,2013,15,88,5.3,0.04,"3,842"
The Iceman,2012,15,106,6.8,1.94,"78,058"
Least Among Saints,2012,15,107,6.4,0.03,620
Admission,2013,15,108,5.7,18,"35,935"
Monsters University,2013,15,104,7.2,268.49,"380,814"
The Heat,2013,15,117,6.6,159.58,"179,148"
Only God Forgives,2013,15,90,5.7,0.78,"116,647"
Lovelace,2013,15,93,6.2,0.36,"42,263"
Mean Creek,2004,15,90,7.1,0.6,"33,096"
The Great Gatsby,2013,15,143,7.2,144.84,"580,687"
The Big Wedding,2013,15,90,5.6,21.78,"51,421"
Pain & Gain,2013,15,129,6.4,49.88,"226,373"
Lay the Favourite,2012,15,94,4.8,0.02,"11,957"
Byzantium,2012,12,118,6.5,0.08,"45,373"
Beautiful Creatures,2013,15,124,6.1,19.45,"90,333"
The Look of Love,2013,12,101,6,0.02,"7,265"
R.I.P.D.,2013,15,96,5.6,33.62,"141,557"
Happy Few,2010,15,103,5.6,2.46,"1,975"
Promised Land,2012,15,106,6.6,7.6,"39,477"
Mud,2012,18,130,7.4,21.59,"186,279"
Haute Cuisine,2012,15,95,6.4,0.21,"6,759"
This Is 40,2012,15,134,6.2,67.54,"148,234"
Trance,2013,15,101,6.9,2.32,"116,844"
Caroline and Jackie,2012,15,85,5.7,2.46,763
Jarhead,2005,15,125,7,62.66,"202,178"
Elysium,2013,15,109,6.6,93.05,"464,416"
World War Z,2013,15,116,7,202.36,"703,455"
After Earth,2013,15,100,4.8,60.52,"206,990"
Now You See Me,2013,15,115,7.2,117.72,"692,563"
The Frozen Ground,2013,15,105,6.4,2.46,"66,177"
The East,2013,15,116,6.8,2.27,"51,849"
The Mortal Instruments: City of Bones,2013,15,130,5.8,31.17,"137,709"
Violet & Daisy,2011,15,88,6,0.02,"13,129"
Ain't Them Bodies Saints,2013,15,96,6.4,0.39,"22,537"
A Good Day to Die Hard,2013,15,98,5.2,67.35,"212,742"
Taken 2,2012,12,92,6.2,139.85,"318,048"
Pacific Rim,2013,15,131,6.9,101.8,"521,597"
Jobs,2013,15,128,6,16.13,"101,843"
Disconnect,2012,15,115,7.5,7.44,"77,619"
Europa Report,2013,15,97,6.4,0.13,"74,378"
Blue Is the Warmest Colour,2013,15,180,7.7,2.2,"160,138"
Concussion,2013,15,96,5.6,0.04,"5,769"
Turbo,2013,12,96,6.4,83.03,"107,226"
The Lifeguard,2013,18,98,5.6,2.46,"15,112"
1911,2011,15,99,5.7,0.13,"6,467"
Elite Squad,2007,12,115,8,0.01,"108,337"
Elite Squad 2: The Enemy Within,2010,12,115,8,0.1,"85,683"
The Bling Ring,2013,15,90,5.6,5.84,"90,724"
Star Trek Into Darkness,2013,12,132,7.7,228.78,"493,469"
The Beautiful Ordinary,2007,15,101,5.7,2.46,"3,816"
Bringing Up Bobby,2011,15,93,5.1,0,"2,022"
Parkland,2013,15,93,6.4,0.65,"17,134"
Arthur and Mike,2012,15,93,5.6,2.46,"7,697"
Prisoners,2013,12,153,8.1,61,"779,283"
Getaway,2013,15,90,4.4,10.49,"24,988"
The Necessary Death of Charlie Countryman,2013,15,103,6.3,0.01,"29,443"
Child's Pose,2013,15,112,7.4,0.09,"8,739"
The Gatekeepers,2012,15,101,7.6,2.42,"5,800"
Summer in February,2013,15,100,5.6,2.46,"4,242"
Keyhole,2011,18,94,5.4,0.02,"1,578"
Adore,2013,15,112,6.2,0.32,"36,106"
Les Misérables,2012,12,158,7.5,148.81,"341,279"
Night Train to Lisbon,2013,15,111,6.8,2.46,"20,487"
Everybody Has a Plan,2012,12,118,5.6,2.46,"2,140"
The Brass Teapot,2012,15,101,6.3,0.01,"16,786"
RED 2,2013,15,116,6.6,53.26,"178,272"
Wish You Were Here,2012,12,89,5.9,0.05,"6,065"
Big Sur,2013,15,81,5.7,0.03,"2,083"
Antiviral,2012,12,108,5.7,2.46,"15,076"
Stranded,2013,18,84,3.5,2.46,"4,236"
The Faculty,1998,15,104,6.6,40.06,"132,575"
Gentlemen Broncos,2009,18,89,6.1,0.11,"12,143"
The Spectacular Now,2013,15,95,7,6.85,"159,585"
The Last Days on Mars,2013,12,98,5.5,0.02,"38,504"
How I Live Now,2013,15,101,6.4,0.06,"31,666"
Out of the Furnace,2013,18,116,6.7,11.33,"122,719"
The Guru,2002,15,94,5.4,3.03,"15,439"
Insidious: Chapter 2,2013,15,106,6.5,83.59,"185,468"
Percy Jackson: Sea of Monsters,2013,12,106,5.7,68.56,"123,363"
Passengers,2008,15,93,5.8,0.27,"38,738"
If I Were You,2012,15,115,6.9,0.01,"2,367"
Bottle Rocket,1996,15,91,6.9,0.56,"82,258"
Not Fade Away,2012,12,117,6,0.61,"4,915"
Fruitvale Station,2013,15,85,7.5,16.1,"84,827"
Captain Phillips,2013,15,134,7.8,107.1,"483,422"
The Way Way Back,2013,15,103,7.4,21.5,"155,158"
Gravity,2013,15,91,7.7,274.09,"851,272"
Mr. Morgan's Last Love,2013,12,111,6.7,2.46,"13,096"
White House Down,2013,15,131,6.3,73.1,"232,787"
We Are What We Are,2013,12,105,5.9,0.08,"21,893"
White Reindeer,2013,15,82,5.7,2.46,"1,239"
Riddick,2013,15,119,6.4,42.03,"175,373"
The Motel Life,2012,15,85,5.9,2.46,"3,748"
Runner Runner,2013,15,88,5.6,19.32,"65,277"
What Maisie Knew,2012,15,99,7.4,1.07,"28,439"
Stalingrad,2013,15,131,5.7,1.01,"17,512"
Savannah,2013,12,101,5.8,0.04,"1,746"
Oranges and Sunshine,2010,15,105,7.1,2.46,"5,835"
A Case of You,2013,15,89,5.6,2.46,"12,237"
Late Bloomers,2011,15,95,5.7,2.46,"1,043"
Hours,2013,15,97,6.4,2.46,"30,544"
The Wolverine,2013,15,126,6.7,132.56,"484,887"
The Family,2013,15,111,6.3,36.92,"121,445"
Psychopathia Sexualis,2006,15,102,3.7,0,537
Paradise,2013,15,86,5,2.46,"3,720"
Deception,2013,15,131,7.8,0.09,"126,029"
The Butler,2013,15,132,7.2,116.63,"118,627"
The Hunt,2012,15,115,8.3,0.69,"353,227"
Gloria,2013,15,110,6.9,2.11,"9,220"
The Past,2013,15,130,7.7,1.33,"50,354"
Alan Partridge: Alpha Papa,2013,15,90,6.9,0.15,"32,716"
Stuck in Love.,2012,15,97,7.2,0.08,"91,038"
Mandela: Long Walk to Freedom,2013,15,141,7.1,8.32,"28,796"
Twice Born,2012,15,127,7.3,0.01,"17,233"
The Lone Ranger,2013,15,150,6.4,89.3,"241,951"
Terri,2011,15,105,6.5,0.65,"10,222"
Dangerous Liaisons,2012,15,110,6,0.05,"2,008"
The Hunger Games: Catching Fire,2013,18,146,7.5,424.67,"697,677"
Free Ride,2013,15,86,5.6,2.46,"2,460"
Thanks for Sharing,2012,15,112,6.4,1.06,"29,284"
12 Years a Slave,2013,15,134,8.1,56.67,"728,764"
The Wolf of Wall Street,2013,15,180,8.2,116.9,"1,526,302"
Kettle of Fish,2006,13,97,5.2,2.46,723
August: Osage County,2013,15,121,7.2,37.74,"94,109"
Dallas Buyers Club,2013,15,117,7.9,27.3,"510,005"
Ender's Game,2013,15,114,6.6,61.74,"250,362"
Escape Plan,2013,18,115,6.7,25.13,"253,965"
Silent House,2011,15,86,5.2,12.56,"24,082"
The Washington Snipers,2013,15,93,5.9,0.09,"5,993"
Cold Comes the Night,2013,12,90,5.7,2.46,"9,603"
Frozen,2013,15,102,7.4,400.74,"650,846"
Her,2013,15,126,8,25.57,"651,996"
Diana,2013,15,113,5.6,0.33,"20,774"
The Ultimate Gift,2006,15,118,7.3,3.44,"20,031"
The Inevitable Defeat of Mister & Pete,2013,12,108,7.5,0.49,"5,695"
Short Term 12,2013,15,96,7.9,1.01,"90,770"
Bridegroom,2013,15,80,8,2.46,"4,609"
Carrie,2013,15,100,5.8,35.27,"146,370"
Don Jon,2013,15,90,6.5,24.48,"245,105"
As I Lay Dying,2013,12,110,5.3,0.02,"4,158"
About Time,2013,12,123,7.8,15.32,"374,882"
The Adventurer: The Curse of the Midas Box,2013,15,100,5.4,1,"7,103"
Afternoon Delight,2013,15,98,5.7,0.17,"11,259"
The Counsellor,2013,12,117,5.4,16.97,"104,548"
Rush,2013,15,123,8.1,26.95,"502,776"
Snow White,2012,15,104,7.5,0.28,"11,471"
Examined Life,2008,12,87,7,0.12,"1,813"
Grudge Match,2013,15,113,6.4,29.81,"62,293"
Goats,2012,15,94,5.8,2.46,"5,360"
Alvin and the Chipmunks,2007,15,92,5.2,217.33,"92,449"
Bad Grandpa,2013,13,92,6.5,102,"97,499"
Oz the Great and Powerful,2013,15,130,6.3,234.91,"212,755"
Welcome to the Jungle,2013,15,95,4.9,2.46,"13,892"
The Congress,2013,15,122,6.4,0.14,"19,670"
Tape,2001,18,86,7.2,0.49,"20,894"
The Assault,2010,15,91,6.1,2.46,"4,065"
Burke and Hare,2010,15,91,6.1,0,"21,142"
Tiny Furniture,2010,15,98,6.2,0.39,"14,756"
TT3D: Closer to the Edge,2011,15,104,7.9,2.46,"6,601"
Last Vegas,2013,15,105,6.6,63.91,"135,805"
Beautiful Boy,2010,15,100,6.6,0.08,"6,883"
Homefront,2013,12,100,6.5,20.16,"127,333"
In a World...,2013,12,93,6.7,2.96,"32,670"
Jamesy Boy,2014,15,109,6.2,2.46,"6,234"
The Selfish Giant,2013,18,91,7.3,0.01,"12,643"
Twixt,2011,15,88,4.7,2.46,"11,516"
Two Lives,2012,15,97,7.1,0,"3,227"
Snowtown,2011,15,119,6.6,0.01,"20,205"
Stuck,2007,15,85,6.5,0.07,"10,175"
The Great Raid,2005,15,132,6.6,10.17,"23,792"
Reaching for the Moon,2013,15,118,7,0.04,"3,481"
"I, Frankenstein",2014,15,92,5.1,19.08,"83,174"
Alvin and the Chipmunks: The Squeakquel,2009,15,88,4.5,219.61,"53,055"
Lucky,2011,15,103,5.3,2.46,"3,711"
Twenty Feet from Stardom,2013,12,91,7.4,4.95,"13,824"
Hannah Arendt,2012,15,113,7.1,0.71,"11,860"
Filth,2013,15,97,7,0.03,"114,087"
Now & Later,2011,15,99,5.1,0,"2,115"
The Right Kind of Wrong,2013,12,97,6.1,0,"9,994"
Better Luck Tomorrow,2002,12,101,7,3.8,"10,373"
Mother of George,2013,15,107,6.5,0.15,"1,256"
Keeper of the Flame,1942,15,100,6.7,2.46,"3,135"
Citizen Gangster,2011,15,105,6.1,2.46,"4,548"
Man of Steel,2013,15,143,7.1,291.05,"800,031"
Red Rock West,1993,15,98,7,2.5,"24,358"
Billy the Kid,2007,15,85,7.3,2.46,594
Brightest Star,2013,15,80,5.1,2.46,"1,159"
The Strange Case of Angelica,2010,18,97,6.3,0.05,"2,099"
Joe Dirt,2001,15,91,6,27.09,"60,008"
The First Grader,2010,15,103,7.4,0.33,"4,859"
The Art of the Steal,2013,15,90,6.3,0.06,"25,723"
Camille Claudel 1915,2013,15,95,6.5,0.02,"3,878"
London to Brighton,2006,15,85,6.9,2.46,"8,685"
The Winning Season,2009,15,119,6.6,2.46,"7,019"
The Time That Remains,2009,15,109,7,0.02,"2,652"
The Day,2011,15,87,5.2,0.02,"13,179"
Oldboy,2013,15,104,5.8,2.19,"79,532"
Love Liza,2002,18,90,6.9,0.21,"8,442"
Fugitive Pieces,2007,15,104,6.9,0.63,"2,671"
Boy,2010,15,87,7.5,0.26,"28,688"
Letters to Father Jacob,2009,15,74,7.3,2.46,"2,455"
Tuck Everlasting,2002,15,90,6.6,19.16,"25,023"
Wilbur Wants to Kill Himself,2002,15,111,6.8,0.23,"8,017"
Oldboy,2003,15,120,8.4,0.71,"616,490"
Kill Your Darlings,2013,18,104,6.4,1.03,"40,584"
American Hustle,2013,15,138,7.2,150.12,"494,957"
Barnyard,2006,15,90,5.6,72.78,"33,598"
Wadjda,2012,12,98,7.5,1.35,"21,183"
Melinda and Melinda,2004,15,99,6.4,3.83,"32,979"
At Middleton,2013,15,99,6.5,0.05,"9,006"
Mystery Road,2013,15,121,6.6,2.46,"8,377"
Grand Piano,2013,18,90,5.9,0.02,"19,450"
All Is Lost,2013,15,106,6.9,6.26,"82,971"
Dancing at the Blue Iguana,2000,15,123,5.7,0.03,"4,089"
Snowpiercer,2013,15,126,7.1,4.56,"380,549"
Michael Kohlhaas,2013,15,122,6.1,2.46,"9,003"
The Grand Budapest Hotel,2014,15,99,8.1,59.1,"865,027"
Enough Said,2013,15,93,7,17.54,"65,430"
300: Rise of an Empire,2014,15,102,6.2,106.58,"311,941"
13 Sins,2014,12,93,6.3,0.01,"38,494"
Police Story: Lockdown,2013,15,110,5.9,2.46,"10,477"
The Fifth Estate,2013,18,128,6.2,3.25,"42,344"
Narco Cultura,2013,15,103,7.2,0.14,"2,484"
Austenland,2013,12,97,6.3,2.15,"22,813"
Cutie and the Boxer,2013,12,82,7.2,0.2,"4,723"
In Fear,2013,15,85,5.4,2.46,"10,022"
Reasonable Doubt,2014,12,91,5.7,2.46,"20,579"
A Birder's Guide to Everything,2013,18,86,6.2,2.46,"2,373"
Jimmy P.,2013,15,117,6.1,0.02,"3,068"
Girl Rising,2013,15,101,7.2,2.46,"1,270"
Knights of Badassdom,2013,15,86,5.6,0.09,"21,298"
The Patience Stone,2012,15,102,7.1,0.15,"5,399"
The Armstrong Lie,2013,15,124,7.3,0.38,"7,825"
Better Living Through Chemistry,2014,15,91,6.2,0.07,"15,528"
One Chance,2013,15,103,6.8,0.09,"12,975"
In Search of a Midnight Kiss,2007,15,90,7.2,0.17,"8,342"
Veronica Mars,2014,15,107,6.7,3.32,"54,238"
A Warrior's Heart,2011,12,86,5.2,2.46,"2,484"
Andre Gregory: Before and After Dinner,2013,15,108,6.4,2.46,92
The Immigrant,2013,15,120,6.6,2.01,"33,273"
Le Week-End,2013,15,93,6.4,2.22,"8,642"
Shotgun Stories,2007,18,92,7.1,0.05,"11,089"
Reconstruction,2003,15,92,7.3,0.07,"7,570"
The Invisible Woman,2013,15,111,6.1,1.23,"10,318"
Phantom of the Paradise,1974,12,91,7.3,0.16,"21,643"
Blood Ties,2013,12,127,6.5,0.04,"20,827"
Yves Saint Laurent: 5 avenue Marceau 75116 Paris,2002,15,85,5.8,2.46,77
Yves Saint Laurent,2014,15,106,6.2,0.72,"12,832"
Before Tomorrow,2008,18,93,6.8,2.46,200
The Carrier,2014,15,108,5.2,0.05,"16,943"
Flicka,2006,15,95,6,21,"8,385"
Herblock: The Black & the White,2013,15,95,7.5,2.46,148
Ghost in the Shell,1995,15,83,7.9,0.52,"152,571"
My Way,2011,15,137,7.6,0.07,"12,394"
Ghost in the Shell 2: Innocence,2004,15,100,7.4,1.04,"39,816"
Sanctum,2011,15,108,5.9,23.07,"56,863"
Bucky Larson: Born to Be a Star,2011,15,97,3.3,2.33,"12,673"
Formosa Betrayed,2009,18,103,6.1,0.23,"1,496"
The Railway Man,2013,15,116,7.1,4.44,"42,093"
The Road to Guantanamo,2006,15,95,7.4,0.32,"11,440"
The Returned,2013,15,98,5.9,2.46,"8,698"
Grand Central,2013,12,94,6.2,2.46,"2,790"
Saving Mr. Banks,2013,15,125,7.5,83.3,"168,055"
Ichi the Killer,2001,12,120,7,0.02,"59,079"
Teza,2008,12,140,7.1,2.46,608
Jodorowsky's Dune,2013,15,90,8,0.65,"26,398"
All About Lily Chou-Chou,2001,12,146,7.5,0.02,"10,569"
The Last Mistress,2007,15,115,6.2,0.79,"3,717"
Tokarev,2014,15,98,5,2.46,"25,227"
Loves Her Gun,2013,12,99,4.9,2.46,299
RoboCop,2014,15,117,6.1,58.61,"236,708"
North Face,2008,15,126,7.4,0.71,"16,243"
The Machine,2013,15,91,6,2.46,"31,901"
Gimme Shelter,2013,15,120,6.4,1.36,"9,266"
Escape from Planet Earth,2012,15,89,5.8,57.01,"26,569"
The German Doctor,2013,15,93,6.7,0.41,"7,686"
Black Nativity,2013,15,93,4.8,7.02,"2,328"
Tinker Bell and the Pirate Fairy,2014,15,78,6.6,2.46,"14,317"
Lone Survivor,2013,15,121,7.5,125.1,"300,953"
Lake Tahoe,2008,15,89,6.6,0.01,"1,751"
Over the Hedge,2006,18,83,6.7,155.02,"186,231"
The Monuments Men,2014,15,118,6.1,78.03,"137,436"
The Singing Detective,2003,15,109,5.4,0.34,"8,869"
Blue Ruin,2013,15,90,7.1,0.26,"77,638"
Pompeii,2014,12,105,5.5,23.22,"115,099"
3 Days to Kill,2014,15,117,6.2,30.7,"96,652"
The Tree,2010,15,100,6.5,0.07,"4,665"
Mindscape,2013,15,99,6.4,0,"24,813"
Lost in La Mancha,2002,15,93,7.3,0.73,"11,926"
Seven Days in Utopia,2011,12,100,6.1,18,"4,020"
The Sacrament,2013,18,99,6.1,0.01,"20,517"
Walk of Shame,2014,15,95,6,0.04,"56,468"
Kal Ho Naa Ho,2003,15,186,7.9,1.79,"73,502"
Walkabout,1971,15,100,7.6,0.02,"26,870"
About Elly,2009,15,119,7.9,0.11,"56,198"
Adult World,2013,15,97,6.1,0.02,"18,453"
Chelsea Walls,2001,15,109,4.8,0.06,"2,206"
El Bola,2000,15,88,7.3,2.46,"6,832"
Jean-Michel Basquiat: The Radiant Child,2010,12,88,7.7,0.26,"2,449"
The Taste of Tea,2004,15,143,7.6,2.46,"7,046"
The Legend of Hercules,2014,15,99,4.2,18.85,"55,612"
Barefoot,2014,12,90,6.5,0.01,"26,725"
